Engine,Prediction_Mode,Item,N_Eval,RMSE,MAE,MSE,Naive_MAE,MASE,Bias_PredMinusObs
Statsmodels,conditional,Q1_Speech,3561,0.38523694940130865,0.25881459119460815,0.14840750718402645,0.20331367593372648,1.272981711662983,-0.009514636915604833
Statsmodels,conditional,Q2_Salivation,3561,0.42728022836704665,0.27275974804483216,0.18256839355339552,0.2544229149115417,1.0720722547325028,-0.005619557387664597
Statsmodels,conditional,Q3_Swallowing,3561,0.4051696960284242,0.2519423670505403,0.16416248257976565,0.1962931760741365,1.2835003849312931,-0.010254199546874454
Statsmodels,conditional,Q4_Handwriting,3561,0.45809367969987236,0.3255072584518199,0.20984981938096925,0.2813816343723673,1.1568177119230845,-0.0017695225594139738
Statsmodels,conditional,Q5_Cutting,3561,0.4532454421549727,0.3314174224273613,0.20543143083425672,0.2985116540297669,1.1102327763535593,0.0017335824383343322
Statsmodels,conditional,Q6_Dressing_and_Hygiene,3561,0.4457897249361613,0.33594027637083107,0.19872847885865835,0.31367593372648134,1.0709788040792565,0.004150462513605817
Statsmodels,conditional,Q7_Turning_in_Bed,3561,0.46811737365091577,0.34600577203668764,0.21913387551383107,0.31788823364223534,1.0884510196313115,-0.005628241176666949
Statsmodels,conditional,Q8_Walking,3561,0.3649965350707606,0.263433164666498,0.13322247061366094,0.20527941589441168,1.2832906968227078,0.0014333233012832024
Statsmodels,conditional,Q9_Climbing_Stairs,3561,0.5253719855737236,0.3720901953646501,0.27601572322567675,0.33557989328840215,1.108797644931815,0.023584864029486757
Statsmodels,conditional,R_1_Dyspnea,3561,0.5814997052613001,0.39953644731740406,0.3381419072189789,0.34962089300758215,1.1427705131705026,-0.000797582429160856
Statsmodels,conditional,R_2_Orthopnea,3561,0.4543565104640432,0.26443259129738417,0.2064398386010622,0.19404661611906768,1.3627271456005572,-0.015515076958962537
Stan,conditional,Q1_Speech,3561,0.4500998098542921,0.27291005131517587,0.2025898388308699,0.20331367593372648,1.3423103490792005,-0.08633379595289438
Stan,conditional,Q2_Salivation,3561,0.4487606410480075,0.2657896639200675,0.20138611295381864,0.2544229149115417,1.0446765929573514,-0.03280745728652814
Stan,conditional,Q3_Swallowing,3561,0.4247832830158959,0.23899152390917594,0.18044083752976273,0.1962931760741365,1.2175233428334413,-0.03847145708792194
Stan,conditional,Q4_Handwriting,3561,0.4772435664755104,0.2958479737404052,0.2277614217422649,0.2813816343723673,1.0514118108678474,0.08717082395721357
Stan,conditional,Q5_Cutting,3561,0.4377182102212386,0.29635530149822037,0.1915972315592844,0.2985116540297669,0.9927763204470016,0.02505921831918819
Stan,conditional,Q6_Dressing_and_Hygiene,3561,0.43422157743804507,0.3095655794855793,0.18854837831278418,0.31367593372648134,0.9868961759607411,0.01131475275172506
Stan,conditional,Q7_Turning_in_Bed,3561,0.4680845197842723,0.3311726159316996,0.21910311766167279,0.31788823364223534,1.0417894746756027,-0.04838072937491705
Stan,conditional,Q8_Walking,3561,0.42068094039510345,0.2751355336524202,0.1769724536117086,0.20527941589441168,1.3402977227582331,-0.08978261961690395
Stan,conditional,Q9_Climbing_Stairs,3561,0.6767771135477298,0.4554977398370129,0.4580272614219968,0.33557989328840215,1.3573451477486216,-0.17340498501022192
Stan,conditional,R_1_Dyspnea,3561,0.5684901271287689,0.3437175451206928,0.32318102464288384,0.34962089300758215,0.9831150025500297,0.04914239713806101
Stan,conditional,R_2_Orthopnea,3561,0.41947784728417065,0.19154522895606343,0.17596166436216198,0.19404661611906768,0.9871093492222024,0.02962822796509575
Stan,conditional,R_3_Respiratory_Insufficiency,3561,0.26543175002565955,0.08120334839664574,0.07045401392168422,0.07441729851165403,1.0911891458130396,0.024856229563443327
