Dataset_Name,Column_Name,Data_Type,Total_Rows,Non_Null_Count,Missing_Pct,Unique_Values,Mean,Std_Dev,Min,25%,Median_50%,75%,Max
DEMOGRAPHICS,subject_id,int64,13115,13115,0.0,13115,,,,,,,
DEMOGRAPHICS,Demographics_Delta,float64,13115,13030,0.65,14,-0.005218726016884114,0.8094937640356797,-35.0,0.0,0.0,0.0,49.0
DEMOGRAPHICS,Age,float64,13115,10094,23.03,196,56.6505944125223,11.57897796644426,0.0,49.0,58.0,65.0,90.0
DEMOGRAPHICS,Date_of_Birth,float64,13115,1940,85.21,1806,-20948.994845360823,3948.0490096950844,-31437.0,-23592.0,-21310.0,-18486.25,-8055.0
DEMOGRAPHICS,Ethnicity,object,13115,4375,66.64,4,,,,,,,
DEMOGRAPHICS,Race_Americ_Indian_Alaska_Native,float64,13115,353,97.31,2,0.042492917847025496,0.20199717476854312,0.0,0.0,0.0,0.0,1.0
DEMOGRAPHICS,Race_Asian,float64,13115,475,96.38,2,0.29473684210526313,0.45640505481615407,0.0,0.0,0.0,1.0,1.0
DEMOGRAPHICS,Race_Black_African_American,float64,13115,485,96.3,2,0.3216494845360825,0.46759159709991877,0.0,0.0,0.0,1.0,1.0
DEMOGRAPHICS,Race_Hawaiian_Pacific_Islander,float64,13115,341,97.4,2,0.002932551319648094,0.05415303610738823,0.0,0.0,0.0,0.0,1.0
DEMOGRAPHICS,Race_Unknown,float64,13115,405,96.91,2,0.16296296296296298,0.3697886888040746,0.0,0.0,0.0,0.0,1.0
DEMOGRAPHICS,Race_Caucasian,float64,13115,8876,32.32,2,0.9975214060387562,0.04972654340686333,0.0,1.0,1.0,1.0,1.0
DEMOGRAPHICS,Race_Other,float64,13115,427,96.74,2,0.3559718969555035,0.4793684021043361,0.0,0.0,0.0,1.0,1.0
DEMOGRAPHICS,Race_Other_Specify,object,13115,39,99.7,20,,,,,,,
DEMOGRAPHICS,Sex,object,13115,13109,0.05,2,,,,,,,
ALSFRS,subject_id,int64,81229,81229,0.0,9149,,,,,,,
ALSFRS,Q1_Speech,float64,81229,79926,1.6,9,2.8878775367214673,1.2460332532703964,0.0,2.0,3.0,4.0,4.0
ALSFRS,Q2_Salivation,float64,81229,79924,1.61,9,3.207046694359642,1.0879247847835825,0.0,3.0,4.0,4.0,4.0
ALSFRS,Q3_Swallowing,float64,81229,79923,1.61,9,3.211816373259262,1.0541188951881744,0.0,3.0,4.0,4.0,4.0
ALSFRS,Q4_Handwriting,float64,81229,79920,1.61,9,2.5000125125125123,1.3145482636424033,0.0,2.0,3.0,3.0,4.0
ALSFRS,Q5a_Cutting_without_Gastrostomy,float64,81229,74348,8.47,9,2.21320008608167,1.3472730727704028,0.0,1.0,2.0,3.0,4.0
ALSFRS,Q5b_Cutting_with_Gastrostomy,float64,81229,6367,92.16,8,1.2831003612376315,1.5027705902382051,0.0,0.0,1.0,3.0,4.0
ALSFRS,Q6_Dressing_and_Hygiene,float64,81229,79917,1.62,9,1.986811316741119,1.2330212275191992,0.0,1.0,2.0,3.0,4.0
ALSFRS,Q7_Turning_in_Bed,float64,81229,79916,1.62,9,2.554238200110116,1.2276311343844395,0.0,2.0,3.0,4.0,4.0
ALSFRS,Q8_Walking,float64,81229,79920,1.61,9,2.3361924424424423,1.0913738028238307,0.0,2.0,2.0,3.0,4.0
ALSFRS,Q9_Climbing_Stairs,float64,81229,79922,1.61,9,1.4963276694777408,1.4186334150844646,0.0,0.0,1.0,3.0,4.0
ALSFRS,Q10_Respiratory,float64,81229,36384,55.21,7,3.464957124010554,0.7577272424691985,0.0,3.0,4.0,4.0,4.0
ALSFRS,ALSFRS_Delta,float64,81229,81041,0.23,1144,181.00705815574833,171.87416710604026,-85.0,51.0,133.0,270.0,2114.0
ALSFRS,ALSFRS_Total,float64,81229,36385,55.21,79,26.11793779222207,7.670826498917023,0.0,21.0,27.0,32.0,44.0
ALSFRS,ALSFRS_R_Total,float64,81229,51947,36.05,49,32.77276839856007,8.653833916486787,0.0,28.0,34.0,39.0,48.0
ALSFRS,R_1_Dyspnea,float64,81229,50659,37.63,5,3.254031860084092,1.0936259356331393,0.0,3.0,4.0,4.0,4.0
ALSFRS,R_2_Orthopnea,float64,81229,50659,37.63,5,3.5434769734894096,0.9660937443033056,0.0,4.0,4.0,4.0,4.0
ALSFRS,R_3_Respiratory_Insufficiency,float64,81229,50661,37.63,5,3.7038155583190226,0.7307572563024658,0.0,4.0,4.0,4.0,4.0
ALSFRS,Mode_of_Administration,object,81229,7402,90.89,5,,,,,,,
ALSFRS,ALSFRS_Responded_By,object,81229,1985,97.56,2,,,,,,,
DEATH,subject_id,int64,5116,5116,0.0,5111,,,,,,,
DEATH,Subject_Died,object,5116,5116,0.0,2,,,,,,,
DEATH,Death_Days,float64,5116,3609,29.46,722,304.4765863119978,196.19154846591164,0.0,162.0,287.0,414.0,2033.0
TREATMENT,subject_id,int64,11434,11434,0.0,11434,,,,,,,
TREATMENT,Study_Arm,object,11434,11434,0.0,2,,,,,,,
TREATMENT,Treatment_Group_Delta,float64,11434,8155,28.68,113,14.887185775597793,61.42977210619918,0.0,0.0,0.0,0.0,532.0
RILUZOLE,subject_id,int64,10961,10961,0.0,10812,,,,,,,
RILUZOLE,Subject_used_Riluzole,object,10961,10961,0.0,2,,,,,,,
RILUZOLE,Riluzole_use_Delta,float64,10961,10931,0.27,833,-46.76241880889214,171.0744047694271,-3621.0,0.0,0.0,0.0,1319.0
FVC,subject_id,int64,49110,49110,0.0,9090,,,,,,,
FVC,Subject_Liters_Trial_1,float64,49110,45816,6.71,685,3.013249956347128,1.2185572492742434,0.0,2.13,2.95,3.87,8.2
FVC,pct_of_Normal_Trial_1,float64,49110,18990,61.33,3616,73.78285202738284,26.467085252952298,0.0,58.0,76.32499999999999,92.0,311.0
FVC,Subject_Liters_Trial_2,float64,49110,16796,65.8,646,2.9181686115741847,1.2452947217907087,0.0,2.02,2.86,3.79,7.8
FVC,pct_of_Normal_Trial_2,float64,49110,9888,79.87,1454,76.37942860032364,23.44771498433068,0.0,62.0,78.0,93.0,298.0
FVC,Subject_Liters_Trial_3,float64,49110,16669,66.06,651,2.872593436918831,1.260476009752517,0.0,1.98,2.81,3.76,9.58
FVC,pct_of_Normal_Trial_3,float64,49110,9811,80.02,1435,75.98503414534706,23.703449727778125,0.0,61.0,78.0,92.0,297.0
FVC,Forced_Vital_Capacity_Delta,float64,49110,46552,5.21,852,159.88593400927994,164.98538633536467,-365.0,28.0,117.0,250.0,2120.0
FVC,subject_normal,float64,49110,17304,64.76,472,3.8435003467406377,1.1284878323846201,0.98,3.06,3.82,4.58,82.0
FVC,Forced_Vital_Capacity_Units,object,49110,20336,58.59,1,,,,,,,
SVC,subject_id,int64,33813,33813,0.0,4905,,,,,,,
SVC,Subject_Liters_Trial_1,float64,33813,33806,0.02,634,2.84559782287168,1.1634796596606278,0.0,2.0,2.83,3.69,10.69
SVC,pct_of_Normal_Trial_1,object,33813,28175,16.67,1061,,,,,,,
SVC,Subject_Liters__Trial_2_,float64,33813,9249,72.65,562,3.0286928316574766,1.0503690906913599,0.0,2.26,2.98,3.78,6.66
SVC,pct_of_Normal_Trial_2,float64,33813,6568,80.58,1004,78.98683008526187,20.817090817606527,0.0,66.7,80.0,92.325,158.9
SVC,Subject_Liters__Trial_3_,float64,33813,9185,72.84,565,3.0151856287425147,1.0617072318369636,0.0,2.24,2.98,3.77,6.65
SVC,pct_of_Normal_Trial_3,float64,33813,6544,80.65,998,79.20872555012224,20.938193479072215,0.0,66.6,80.4,93.0,158.0
SVC,Subject_Normal,float64,33813,17647,47.81,429,2.984746415821386,1.9061863091139113,0.0,1.69,3.49,4.55,6.6
SVC,Slow_vital_Capacity_Delta,float64,33813,29114,13.9,708,158.30504224771587,143.01277301323537,-36.0,42.0,119.0,252.0,777.0
SVC,Slow_Vital_Capacity_Units,object,33813,24288,28.17,2,,,,,,,
VITALS,subject_id,int64,89065,89065,0.0,11686,,,,,,,
VITALS,Blood_Pressure_Diastolic,float64,89065,69005,22.52,98,80.05224259111658,10.445366660730778,20.0,72.0,80.0,87.0,140.0
VITALS,Blood_Pressure_Diastolic_Units,object,89065,49183,44.78,2,,,,,,,
VITALS,Blood_Pressure_Systolic,float64,89065,69031,22.49,140,128.92330981732846,16.09872482750126,64.0,119.0,129.0,140.0,236.0
VITALS,Blood_Pressure_Systolic_Units,object,89065,49183,44.78,2,,,,,,,
VITALS,Height,float64,89065,13122,85.27,408,154.65281550068588,47.97541915144014,0.0,158.0,168.0,176.0,205.0
VITALS,Height_Units,object,89065,15692,82.38,2,,,,,,,
VITALS,Pulse,float64,89065,68532,23.05,109,77.68992587404425,12.22386968018603,18.0,70.0,76.0,84.0,180.0
VITALS,Pulse_Units,object,89065,49193,44.77,1,,,,,,,
VITALS,Respiratory_Rate,object,89065,65272,26.71,68,,,,,,,
VITALS,Respiratory_Rate_Units,object,89065,44892,49.6,2,,,,,,,
VITALS,Temperature,float64,89065,43934,50.67,102,36.84360631856876,5.2661363616354135,0.0,36.3,36.6,36.8,100.2
VITALS,Temperature_Units,object,89065,27551,69.07,2,,,,,,,
VITALS,Weight,float64,89065,62475,29.85,1620,74.59191100440177,17.939421019792068,4.4,62.9,73.2,84.0,277.7
VITALS,Weight_Units,object,89065,51947,41.68,2,,,,,,,
VITALS,Vital_Signs_Delta,float64,89065,84527,5.1,1221,165.16720101269416,178.83035702731326,-243.0,28.0,112.0,252.0,2114.0
VITALS,Baseline_Standing_BP_Diastolic,float64,89065,3858,95.67,55,83.68481078278901,11.455437551551823,47.0,77.0,83.0,90.0,120.0
VITALS,Baseline_Standing_BP_Systolic,float64,89065,3858,95.67,77,132.4639709694142,17.899856039768178,90.0,120.0,130.0,142.0,194.0
VITALS,Baseline_Supine_BP_Diastolic,float64,89065,3959,95.55,55,82.28492043445314,10.799479355887755,50.0,76.0,80.0,90.0,120.0
