Parameter,True_Value,RB,MSE,CP,ESS,Rhat
"Gamma[1,1]",0.18,97.011,352.132,0.0,10.0,2.478
"Gamma[1,2]",-0.07,102.228,55.472,50.0,10.0,2.002
"Gamma[2,1]",0.1,20.181,5.13,100.0,10.0,2.606
"Gamma[2,2]",0.15,68.322,105.812,0.0,10.0,2.722
"beta[1,1]",0.3,-1.95,0.342,0.0,10.0,1.476
"beta[1,2]",0.5,-1.78,0.8,0.0,10.0,1.29
"beta[2,1]",0.1,-1.857,0.085,50.0,10.0,1.524
"beta[2,2]",0.2,-1.968,0.161,0.0,10.0,1.714
"beta[3,1]",-0.1,-1.346,0.02,100.0,10.0,1.191
"beta[3,2]",0.2,-1.569,0.106,0.0,10.0,1.278
"beta[4,1]",-0.2,-2.098,0.178,0.0,10.0,1.524
"beta[4,2]",0.4,-1.719,0.473,0.0,10.0,2.153
"beta[5,1]",0.3,-1.414,0.18,0.0,10.0,1.299
"beta[5,2]",-0.3,-1.157,0.121,0.0,10.0,1.813
"beta[6,1]",-0.1,-2.074,0.055,50.0,10.0,1.495
"beta[6,2]",-0.2,-1.333,0.075,0.0,10.0,1.499
"beta[7,1]",-0.2,-2.356,0.223,0.0,10.0,1.117
"beta[7,2]",-0.1,-1.386,0.02,0.0,10.0,1.598
lambda[1],1.2,-0.805,0.957,0.0,10.0,3.1
lambda[2],4.0,-0.839,11.462,0.0,10.0,2.229
lambda[3],4.1,-0.84,11.916,0.0,10.0,3.1
lambda[4],3.1,-0.837,6.736,0.0,10.0,2.158
lambda[5],5.2,-0.862,20.114,0.0,10.0,2.667
lambda[6],3.0,-0.804,5.825,0.0,10.0,3.1
lambda[7],1.7,-0.716,1.483,0.0,10.0,2.33
rho,0.6,-0.916,0.302,0.0,10.0,2.297
sigma_bk[1],3.7,-0.467,4.549,50.0,10.0,3.1
sigma_bk[2],3.4,-0.439,2.379,100.0,10.0,2.722
sigma_bk[3],4.8,-0.329,2.946,100.0,10.0,3.1
sigma_bk[4],3.1,-0.467,2.168,100.0,10.0,3.1
sigma_bk[5],6.1,-0.691,17.748,0.0,10.0,3.1
sigma_bk[6],5.1,-0.536,7.741,0.0,10.0,2.722
sigma_bk[7],1.7,-0.272,0.435,100.0,10.0,2.161
theta1,2.3,-1.605,13.926,0.0,10.0,1.985
theta2,2.6,-1.491,15.031,0.0,10.0,1.975
theta3,2.9,-1.469,18.184,0.0,10.0,2.076
theta4[1],-4.0,-0.375,2.252,50.0,10.0,2.569
theta4[2],-1.0,-0.21,0.048,100.0,10.0,2.138
theta4[3],2.7,-0.461,1.574,0.0,10.0,2.727
theta5[1],-7.5,-0.563,17.901,0.0,10.0,2.564
theta5[2],-2.5,-0.527,1.751,50.0,10.0,2.142
theta5[3],2.6,-0.649,2.856,0.0,10.0,2.217
theta6[1],-5.5,-0.371,4.408,50.0,10.0,2.304
theta6[2],-2.7,-0.336,0.943,100.0,10.0,2.08
theta6[3],2.5,-0.504,1.589,0.0,10.0,2.183
theta7[1],-4.3,-0.195,0.77,50.0,10.0,2.075
theta7[2],-1.0,-0.271,0.078,50.0,10.0,1.412
theta7[3],1.4,-0.19,0.077,100.0,10.0,2.053
