Parameter,True_Value,RB,MSE,CP,ESS,Rhat
"Gamma[1,1]",0.18,0.257,0.007,87.5,161.0,1.392
"Gamma[1,2]",-0.07,0.138,0.067,89.5,301.5,1.672
"Gamma[2,1]",0.1,-0.122,0.064,92.5,2429.4,1.676
"Gamma[2,2]",0.15,0.073,0.02,95.0,2153.6,1.711
"beta[1,1]",0.3,-2.091,0.423,5.0,8308.4,1.018
"beta[1,2]",0.5,-2.033,1.042,0.0,7882.7,1.013
"beta[2,1]",0.1,-2.314,0.11,86.5,7675.0,1.038
"beta[2,2]",0.2,-2.186,0.207,7.5,6765.8,1.031
"beta[3,1]",-0.1,-1.922,0.102,91.5,7760.9,1.08
"beta[3,2]",0.2,-2.137,0.207,12.5,6979.3,1.033
"beta[4,1]",-0.2,-2.025,0.18,9.0,8640.2,1.129
"beta[4,2]",0.4,-2.028,0.663,0.0,8377.7,1.258
"beta[5,1]",0.3,-2.023,0.401,7.5,8521.9,1.117
"beta[5,2]",-0.3,-1.97,0.359,0.0,7781.8,1.055
"beta[6,1]",-0.1,-1.941,0.055,76.5,8547.0,1.027
"beta[6,2]",-0.2,-1.933,0.155,0.0,8465.3,1.067
"beta[7,1]",-0.2,-2.075,0.183,1.5,8531.9,1.038
"beta[7,2]",-0.1,-1.936,0.04,2.0,8400.2,1.061
lambda[1],1.2,0.015,0.046,96.5,3981.9,1.26
lambda[2],4.0,0.059,0.506,96.5,1854.6,1.269
lambda[3],4.1,0.056,0.543,96.0,1967.7,1.596
lambda[4],3.1,-0.0,0.043,95.0,3053.7,1.673
lambda[5],5.2,-0.015,0.236,93.5,1832.6,1.683
lambda[6],3.0,0.011,0.059,93.5,3023.6,1.728
lambda[7],1.7,0.007,0.013,95.0,4477.8,1.665
rho,0.6,0.015,0.003,96.5,963.7,1.467
sigma_bk[1],3.7,0.031,0.13,92.5,2276.7,1.02
sigma_bk[2],3.4,0.087,0.41,95.5,608.4,1.668
sigma_bk[3],4.8,0.072,0.626,96.0,902.7,1.555
sigma_bk[4],3.1,0.006,0.036,97.5,2691.2,1.696
sigma_bk[5],6.1,-0.015,0.207,96.5,2166.7,1.3
sigma_bk[6],5.1,0.002,0.092,95.0,3112.2,1.47
sigma_bk[7],1.7,0.007,0.012,93.0,1991.3,1.632
theta1,2.3,-2.013,21.517,0.0,4702.0,1.012
theta2,2.6,-2.042,28.392,0.0,1791.3,1.147
theta3,2.9,-2.035,35.122,0.0,2060.9,1.191
theta4[1],-4.0,0.012,0.06,97.0,6601.5,1.037
theta4[2],-1.0,0.039,0.044,95.5,7413.1,1.054
theta4[3],2.7,-0.002,0.047,95.5,6854.8,1.123
theta5[1],-7.5,-0.007,0.339,93.5,3442.7,1.04
theta5[2],-2.5,-0.001,0.143,94.0,5749.4,1.047
theta5[3],2.6,-0.017,0.131,96.0,5903.7,1.14
theta6[1],-5.5,0.009,0.113,94.5,6239.3,1.039
theta6[2],-2.7,0.014,0.078,96.5,7082.5,1.05
theta6[3],2.5,0.001,0.08,95.0,7228.4,1.047
theta7[1],-4.3,0.007,0.034,94.0,6905.3,1.064
theta7[2],-1.0,0.009,0.018,92.5,7430.6,1.011
theta7[3],1.4,-0.002,0.016,94.5,7205.3,1.041
