Item,Covariate,Model,Estimate,SE,Z_Score,P_Value
R_3_Respiratory_Insufficiency,Sex_Female,1. Naive LMM,0.050625855127530615,0.028952800377001334,1.7485650599706852,0.08036623034643907
R_3_Respiratory_Insufficiency,Treatment_Active,1. Naive LMM,0.03316271823240767,0.030412321954825326,1.0904369052013787,0.275520732478451
R_3_Respiratory_Insufficiency,Age_Base,1. Naive LMM,-0.0375815860958961,0.013954852093825066,-2.693083799327813,0.007079447287966248
R_3_Respiratory_Insufficiency,Treatment_Active,4. IRT + Latent OU,1.62806,0.7828686224489796,2.07960819135538,
R_3_Respiratory_Insufficiency,Sex_Female,4. IRT + Latent OU,2.28152,0.8405918367346938,2.714182912913642,
R_3_Respiratory_Insufficiency,Age_Base,4. IRT + Latent OU,-0.83153,0.38728711734693877,-2.147063413046865,
R_2_Orthopnea,Sex_Female,1. Naive LMM,0.0808046252352108,0.0432910522354715,1.8665433400808333,0.06196538633309156
R_2_Orthopnea,Treatment_Active,1. Naive LMM,0.04602608102203199,0.04552523003084321,1.0110016136293976,0.3120156574800762
R_2_Orthopnea,Age_Base,1. Naive LMM,-0.06165219469724881,0.020884997608937323,-2.9519847620603015,0.0031573851164191495
R_2_Orthopnea,Sex_Female,4. IRT + Latent OU,1.39079,0.4561512755102041,3.0489665921560882,
R_2_Orthopnea,Age_Base,4. IRT + Latent OU,-0.384661,0.22243543367346938,-1.7293153057829553,
R_2_Orthopnea,Treatment_Active,4. IRT + Latent OU,1.06718,0.4254076530612245,2.5086055512179795,
R_1_Dyspnea,Sex_Female,1. Naive LMM,0.02199328215274301,0.05804234519397019,0.3789178758929233,0.7047488492930827
R_1_Dyspnea,Treatment_Active,1. Naive LMM,0.014622961961566216,0.0610690827126982,0.23944951048897345,0.8107570425370262
R_1_Dyspnea,Age_Base,1. Naive LMM,-0.061134153477728936,0.028012025004831007,-2.1824253500839594,0.02907815510094777
R_1_Dyspnea,Age_Base,4. IRT + Latent OU,-0.239563,0.15889114795918366,-1.507717724221739,
R_1_Dyspnea,Sex_Female,4. IRT + Latent OU,0.657162,0.33077875,1.9867116614957883,
R_1_Dyspnea,Treatment_Active,4. IRT + Latent OU,0.468746,0.30918112244897955,1.5160886805996752,
Q9_Climbing_Stairs,Sex_Female,1. Naive LMM,-0.5125627554841794,0.09840709706322537,-5.208595424320505,1.9027548856918025e-07
Q9_Climbing_Stairs,Treatment_Active,1. Naive LMM,-0.03614965985848449,0.1041381112630109,-0.3471318945586119,0.7284922331770147
Q9_Climbing_Stairs,Age_Base,1. Naive LMM,-0.0031754324465311924,0.04768790245826482,-0.06658779864159985,0.9469098594600082
Q9_Climbing_Stairs,Age_Base,4. IRT + Latent OU,0.277566,0.29405229591836735,0.9439341363859163,
