,Sex_Female,Treatment_Active,Age_Base
Q1_Speech,"2.437 (1.072, 3.839)","-0.266 (-1.588, 1.032)","-0.044 (-0.711, 0.609)"
Q2_Salivation,"1.386 (0.66, 2.133)","0.483 (-0.226, 1.179)","-0.364 (-0.716, -0.003)"
Q3_Swallowing,"1.163 (0.289, 2.055)","-0.1 (-0.948, 0.74)","-0.31 (-0.731, 0.105)"
Q4_Handwriting,"0.065 (-0.858, 0.995)","1.369 (0.456, 2.306)","1.109 (0.655, 1.572)"
Q5_Cutting,"0.467 (-0.705, 1.587)","0.57 (-0.576, 1.71)","1.499 (0.933, 2.076)"
Q6_Dressing_and_Hygiene,"0.361 (-0.577, 1.28)","0.272 (-0.644, 1.189)","0.868 (0.416, 1.341)"
Q7_Turning_in_Bed,"0.75 (-0.171, 1.726)","-0.449 (-1.373, 0.461)","0.507 (0.042, 0.974)"
Q8_Walking,"1.204 (-0.158, 2.585)","-2.134 (-3.506, -0.815)","0.679 (-0.015, 1.369)"
Q9_Climbing_Stairs,"0.933 (-0.204, 2.112)","-2.269 (-3.431, -1.147)","0.278 (-0.312, 0.841)"
R_1_Dyspnea,"0.657 (0.018, 1.315)","0.469 (-0.137, 1.075)","-0.24 (-0.554, 0.069)"
R_2_Orthopnea,"1.391 (0.509, 2.297)","1.067 (0.224, 1.891)","-0.385 (-0.824, 0.048)"
R_3_Resp_Insufficiency,"2.282 (0.754, 4.049)","1.628 (0.15, 3.219)","-0.832 (-1.607, -0.089)"
