Item,Covariate,Model,Estimate,SE,Z_Score
R_3_Respiratory_Insufficiency,Sex_Female,1. Naive LMM,0.0680943684178116,0.028718648996104695,2.3710853678056965
R_3_Respiratory_Insufficiency,Treatment_Active,1. Naive LMM,0.03408269257822904,0.030885115738859548,1.1035313212489053
R_3_Respiratory_Insufficiency,Age_Base,1. Naive LMM,-0.023837313323947666,0.01386866756886429,-1.7187890044652439
R_3_Respiratory_Insufficiency,Bulbar_Onset,1. Naive LMM,-0.04139531889551395,0.037052861075612765,-1.1171962891351264
R_3_Respiratory_Insufficiency,FVC_Base,1. Naive LMM,0.07527394945881552,0.013754456660177675,5.472695237518976
R_3_Respiratory_Insufficiency,BMI_Base,1. Naive LMM,0.004978652408100738,0.014303511912337388,0.3480720286467856
R_3_Respiratory_Insufficiency,Sex_Female,2. Ordinal (IRT),0.44156560237333475,0.11970143255204074,3.688891544229114
R_3_Respiratory_Insufficiency,Treatment_Active,2. Ordinal (IRT),0.15619728178823544,0.11808473171431719,1.3227559526164998
R_3_Respiratory_Insufficiency,Age_Base,2. Ordinal (IRT),-0.21389209135494208,0.05569620627573972,-3.840335018439302
R_3_Respiratory_Insufficiency,Bulbar_Onset,2. Ordinal (IRT),-0.20704255298399185,0.13251721163206284,-1.56238235346251
R_3_Respiratory_Insufficiency,FVC_Base,2. Ordinal (IRT),0.5245981809180119,0.05360427020755309,9.78649982336843
R_3_Respiratory_Insufficiency,BMI_Base,2. Ordinal (IRT),0.03740991844463027,0.06148707236292284,0.6084192498842851
R_3_Respiratory_Insufficiency,Sex_Female,3. Discrete AR(1),0.017142266992982186,0.012284441842585625,1.3954453293560538
R_3_Respiratory_Insufficiency,Treatment_Active,3. Discrete AR(1),-0.0017836094318662047,0.01306571416007728,-0.13651067289655563
R_3_Respiratory_Insufficiency,Age_Base,3. Discrete AR(1),-0.013279687170744209,0.0058368592461955655,-2.27514260848415
R_3_Respiratory_Insufficiency,Bulbar_Onset,3. Discrete AR(1),0.011379347517465806,0.01568553254286377,0.7254677191462594
R_3_Respiratory_Insufficiency,FVC_Base,3. Discrete AR(1),0.029993068509661908,0.00604288930645915,4.96336553403399
R_3_Respiratory_Insufficiency,BMI_Base,3. Discrete AR(1),-0.012952413833483388,0.006139666032252237,-2.1096284008679222
R_3_Respiratory_Insufficiency,Treatment_Active,4. CLOUD,1.62806,0.7828686224489796,2.07960819135538
R_3_Respiratory_Insufficiency,Sex_Female,4. CLOUD,2.28152,0.8405918367346938,2.714182912913642
R_3_Respiratory_Insufficiency,Age_Base,4. CLOUD,-0.83153,0.38728711734693877,-2.147063413046865
R_3_Respiratory_Insufficiency,BMI_Base,4. CLOUD,0.197134,0.2607566326530612,0.7560076152014449
R_3_Respiratory_Insufficiency,FVC_Base,4. CLOUD,0.913687,0.22669642857142855,4.030442851516345
R_3_Respiratory_Insufficiency,Bulbar_Onset,4. CLOUD,-3.47547,0.5358061224489796,-6.486432040221676
R_2_Orthopnea,Sex_Female,1. Naive LMM,0.1067681984064147,0.04203476440572378,2.539997545266991
R_2_Orthopnea,Treatment_Active,1. Naive LMM,0.05003417322432806,0.04525461493071369,1.1056148262653882
R_2_Orthopnea,Age_Base,1. Naive LMM,-0.04231654439628003,0.020317612843391314,-2.082751784004206
R_2_Orthopnea,Bulbar_Onset,1. Naive LMM,-0.08398174382072034,0.05424696385564368,-1.5481372200701171
