Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
1. Naive LMM,Overall,Total Score,2.5914571890452804,1.8805055678983889,,
1. Naive LMM,Domain,Bulbar,0.861699003376511,0.5644920093737303,,
1. Naive LMM,Domain,Fine_Motor,0.985135974204407,0.7296467352259802,,
1. Naive LMM,Domain,Gross_Motor,0.9748427589173504,0.7231512240470506,,
1. Naive LMM,Domain,Respiratory,1.0000259441264727,0.6339797844670801,,
1. Naive LMM,Individual Item,Q1_Speech,0.38505735199282914,0.25624292352362193,84.68634686346863,0.8578087887437711
1. Naive LMM,Individual Item,Q2_Salivation,0.42733065263630166,0.2720992733983883,80.37361623616236,0.7515019178187453
1. Naive LMM,Individual Item,Q3_Swallowing,0.4056604955037263,0.24796218187804434,85.37822878228782,0.8006359283427793
1. Naive LMM,Individual Item,Q4_Handwriting,0.4615892917248023,0.3242568267198067,78.34409594095942,0.7930784677006413
1. Naive LMM,Individual Item,Q5_Cutting,0.45584030028366773,0.3316742097858613,77.12177121771218,0.825280185025941
1. Naive LMM,Individual Item,Q6_Dressing_and_Hygiene,0.45573191157754295,0.34047722370129563,76.22232472324724,0.786633629982646
1. Naive LMM,Individual Item,Q7_Turning_in_Bed,0.46945072750794725,0.34378521675479673,75.02306273062732,0.7756903511988071
1. Naive LMM,Individual Item,Q8_Walking,0.37039044523456094,0.2670030599098487,85.60885608856088,0.8629564770720062
1. Naive LMM,Individual Item,Q9_Climbing_Stairs,0.5436700688059416,0.38633506239357485,73.1549815498155,0.8090286071921453
1. Naive LMM,Individual Item,R_1_Dyspnea,0.5751652024866054,0.38748035354698057,72.53228782287823,0.6397417726329545
1. Naive LMM,Individual Item,R_2_Orthopnea,0.4441224707435031,0.25174241692477356,84.01752767527675,0.6354746603165955
1. Naive LMM,Individual Item,R_3_Respiratory_Insufficiency,0.3229553328093831,0.15156194768373782,91.32841328413284,0.6203991432359841
2. IRT + LMM,Overall,Total Score,3.6365205463562793,2.6895413308912666,,
2. IRT + LMM,Individual Item,Q1_Speech,0.48991089790013004,0.3116511762048208,75.55350553505535,0.7558722287894606
2. IRT + LMM,Individual Item,Q2_Salivation,0.5515862651254768,0.35417134954390517,71.24077490774908,0.601099714303635
2. IRT + LMM,Individual Item,Q3_Swallowing,0.4997709105469011,0.2932712446115571,78.04428044280442,0.6753905218163492
2. IRT + LMM,Domain,Bulbar,0.9038083376815854,0.5605465017240496,,
2. IRT + LMM,Individual Item,Q4_Handwriting,0.6119520836070516,0.4530834731946028,63.9990774907749,0.6217518763906363
2. IRT + LMM,Individual Item,Q5_Cutting,0.5082877007575408,0.3759138075583878,71.60977859778598,0.7775586518020412
2. IRT + LMM,Individual Item,Q6_Dressing_and_Hygiene,0.685071101562126,0.5463241218084072,54.33579335793358,0.5330539436571411
2. IRT + LMM,Domain,Fine_Motor,1.0415975789632181,0.7887295487379736,,
2. IRT + LMM,Individual Item,Q7_Turning_in_Bed,0.78592233216105,0.6212326546920944,49.60793357933579,0.4495665492171743
2. IRT + LMM,Individual Item,Q8_Walking,0.44410344985584155,0.3064172153892693,77.16789667896678,0.7706670554605113
2. IRT + LMM,Individual Item,Q9_Climbing_Stairs,0.624909567171699,0.43065599318873266,67.87361623616236,0.7602954292495596
2. IRT + LMM,Domain,Gross_Motor,1.1106076637483437,0.8429040075149958,,
2. IRT + LMM,Individual Item,R_1_Dyspnea,0.737392836231865,0.5206489390459029,65.70571955719558,0.43993361860943625
2. IRT + LMM,Individual Item,R_2_Orthopnea,0.5331517938174111,0.2199329043654051,83.41789667896678,0.45741051824296564
2. IRT + LMM,Individual Item,R_3_Respiratory_Insufficiency,0.4518063595975651,0.16716959299392817,90.59040590405904,0.23053622152693132
2. IRT + LMM,Domain,Respiratory,1.214177562130098,0.724597675995022,,
3. Discrete FA,Overall,Total Score,3.55660490049634,2.8167837846745076,,
3. Discrete FA,Individual Item,Q1_Speech,0.5760378927042131,0.4584401062309843,70.82280258354395,0.7100883356427025
3. Discrete FA,Individual Item,Q2_Salivation,0.5709682777787941,0.39948244516070236,69.8680146026397,0.6163996587493898
3. Discrete FA,Individual Item,Q3_Swallowing,0.5248840213931117,0.33671622933827405,76.49536647009268,0.6935031136670171
3. Discrete FA,Domain,Bulbar,1.0133981878112779,0.7547195364123921,,
3. Discrete FA,Individual Item,Q4_Handwriting,0.7076500304549419,0.5560085770095702,52.99073294018534,0.5065326495726497
3. Discrete FA,Individual Item,Q5_Cutting,0.6382180256922632,0.5290728905610342,51.67087896658242,0.5903248073222962
3. Discrete FA,Individual Item,Q6_Dressing_and_Hygiene,0.7439016915281211,0.6000554434093714,47.62707104745858,0.4501663439086818
3. Discrete FA,Domain,Fine_Motor,1.4017622615823109,1.117900990060831,,
3. Discrete FA,Individual Item,Q7_Turning_in_Bed,0.8712734985701415,0.7105726364868552,42.31957315360854,0.3775913748430726
3. Discrete FA,Individual Item,Q8_Walking,0.4747231413263569,0.35622283319948655,74.52962650940746,0.7419814048086562
3. Discrete FA,Individual Item,Q9_Climbing_Stairs,0.8299323149736935,0.6755050157713416,43.8921651221567,0.5474489330528428
3. Discrete FA,Domain,Gross_Motor,1.4486528644273908,1.1796778832095767,,
3. Discrete FA,Individual Item,R_1_Dyspnea,0.8391956594714456,0.6997554856324876,45.0154450996911,0.2849327015476715
3. Discrete FA,Individual Item,R_2_Orthopnea,0.5342292104050723,0.27843621092006765,84.91996630160067,0.6307900815008206
3. Discrete FA,Individual Item,R_3_Respiratory_Insufficiency,0.472548728750359,0.218233974762775,82.05560235888795,0.3833982954046218
3. Discrete FA,Domain,Respiratory,1.2873417618020533,0.9092413592559319,,
4. CLOUD,Individual Item,Q1_Speech,0.3621396909413982,0.20515630116118916,83.27952029520294,0.8541030829820074
4. CLOUD,Individual Item,Q2_Salivation,0.3897786124657435,0.2275041120607727,83.32564575645756,0.7973293104407664
4. CLOUD,Individual Item,Q3_Swallowing,0.3445113727999628,0.18890989509532444,86.69280442804428,0.8316934729137103
4. CLOUD,Individual Item,Q4_Handwriting,0.3871912403552369,0.23542629608314647,83.30258302583026,0.8405977797787502
4. CLOUD,Individual Item,Q5_Cutting,0.2961514603049916,0.18531107351615825,89.64483394833948,0.9239183970999645
4. CLOUD,Individual Item,Q6_Dressing_and_Hygiene,0.35012412806548043,0.2375614153943101,84.84778597785979,0.8693122231098845
4. CLOUD,Individual Item,Q7_Turning_in_Bed,0.3991700323264031,0.27552439490139435,80.119926199262,0.8307627395820055
4. CLOUD,Individual Item,Q8_Walking,0.38449320758381833,0.22663146342946966,80.25830258302584,0.8170980599037933
4. CLOUD,Individual Item,Q9_Climbing_Stairs,0.6177279102469335,0.3992496654850389,67.91974169741697,0.7650366589886866
