Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
1. Naive LMM,Item,Q1_Speech,0.37479822443065847,0.2463062270760348,84.24599831508003,0.8590158153741448
2. Ordinal / IRT,Item,Q1_Speech,0.9480536268577887,0.7614296819453454,31.31142937377141,0.2196749181704879
3. Discrete AR(1),Item,Q1_Speech,0.45896121099337905,0.2658428326625009,81.01656837966863,0.8206690469284398
5. LPMM Approximation,Item,Q1_Speech,1.0164999604201743,0.792927519369506,39.792193204156135,0.23439158615202615
1. Naive LMM,Item,Q2_Salivation,0.4183784753678744,0.26104395372017647,81.43779837124403,0.7757633179132094
2. Ordinal / IRT,Item,Q2_Salivation,0.8517230253036426,0.6744965745737803,47.318169053636616,0.21443217754236266
3. Discrete AR(1),Item,Q2_Salivation,0.5429044438680795,0.3329799866848296,78.12412243751756,0.708573286693905
5. LPMM Approximation,Item,Q2_Salivation,0.8905167349141687,0.6833632844177765,47.76748104465038,0.18435590061806406
1. Naive LMM,Item,Q3_Swallowing,0.3928566594166003,0.24095558428047073,84.24599831508003,0.8009115739858612
2. Ordinal / IRT,Item,Q3_Swallowing,0.818688818318533,0.6395255029006902,54.956472900870544,0.282119184631324
3. Discrete AR(1),Item,Q3_Swallowing,0.4798454935599132,0.26642558113683357,82.50491434990171,0.7600370586648599
5. LPMM Approximation,Item,Q3_Swallowing,0.794307712051215,0.5924217360732027,56.33249087335018,0.3137766460500657
1. Naive LMM,Item,Q4_Handwriting,0.4408614811595291,0.3088878252235896,79.55630440887391,0.8127964353878071
2. Ordinal / IRT,Item,Q4_Handwriting,1.0950236686913295,0.8157696953730709,43.414771131704576,0.08470695737391964
3. Discrete AR(1),Item,Q4_Handwriting,0.558735587940886,0.36144094030752594,74.81044650379107,0.7520361458894933
5. LPMM Approximation,Item,Q4_Handwriting,0.8791226842862729,0.6777822630888496,47.149677057006464,0.36189211054145776
1. Naive LMM,Item,Q5_Cutting,0.4371628357797174,0.3147435474728749,78.68576242628475,0.8417752834801119
2. Ordinal / IRT,Item,Q5_Cutting,1.2177120571661026,1.0262611397599375,27.436113451277734,0.11440478864891479
