Run_ID,Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
1,theta1,2.3,-0.839744,-2.02034,-0.505558,1.98526,10.0,-1.3651060869565217,9.857992385535999,0
1,theta2,2.6,-1.18258,-2.06297,-0.484276,1.85301,10.0,-1.4548384615384615,14.307911456400003,0
1,theta3,2.9,-1.54469,-2.08164,-1.14637,1.88598,10.0,-1.532651724137931,19.755269196099995,0
1,theta4[1],-4.0,-2.50062,-3.68491,-1.2843,2.56875,10.0,-0.374845,2.2481403843999996,0
1,theta4[2],-1.0,-0.728697,-1.14358,-0.418642,1.32684,10.0,-0.27130299999999996,0.07360531780899998,1
1,theta4[3],2.7,1.60573,0.722791,2.43094,2.72657,10.0,-0.4052851851851852,1.1974268329000002,0
1,theta5[1],-7.5,-3.0186,-5.49254,-1.71578,2.56374,10.0,-0.5975199999999999,20.08294596,0
1,theta5[2],-2.5,-1.05183,-1.57234,-0.709692,2.14243,10.0,-0.579268,2.0971963489,0
1,theta5[3],2.6,0.978688,0.263547,2.38647,2.04428,10.0,-0.6235815384615385,2.628652601344,0
1,theta6[1],-5.5,-2.95835,-5.3259,-1.60718,2.30393,10.0,-0.4621181818181819,6.459984722500001,0
1,theta6[2],-2.7,-1.44542,-2.73791,-0.798371,2.07994,10.0,-0.4646592592592593,1.5739709764000007,1
1,theta6[3],2.5,1.22309,0.451613,2.17151,2.18261,10.0,-0.510764,1.6304991481,0
1,theta7[1],-4.3,-3.19953,-4.11769,-2.25628,1.51648,10.0,-0.2559232558139534,1.2110342208999991,0
1,theta7[2],-1.0,-0.660262,-0.902736,-0.351527,1.41155,10.0,-0.339738,0.115421908644,0
1,theta7[3],1.4,1.05756,0.727811,1.61296,2.0529,10.0,-0.2445999999999999,0.11726515359999991,1
1,lambda[1],1.2,0.0808369,1.00003e-06,0.21904,1.94717,10.0,-0.9326359166666667,1.25252604440161,0
1,lambda[2],4.0,0.208705,1.31697e-05,0.970477,2.16205,10.0,-0.94782375,14.373917777025,0
1,lambda[3],4.1,0.406116,0.00245629,1.24689,2.89769,10.0,-0.9009473170731708,13.644779005455998,0
1,lambda[4],3.1,0.445656,1.00456e-06,1.57368,2.14419,10.0,-0.85624,7.045542070336,0
1,lambda[5],5.2,0.733317,1.63587e-05,2.29729,1.9961,10.0,-0.8589775,19.951257022489,0
1,lambda[6],3.0,0.66678,0.1391,1.53084,2.1351,10.0,-0.77774,5.4439155684,0
1,lambda[7],1.7,0.5409,0.00571397,1.09902,2.05648,10.0,-0.6818235294117647,1.34351281,0
1,"beta[1,1]",0.3,-0.275675,-0.690784,-0.0251195,1.47562,10.0,-1.9189166666666666,0.33140170562499993,0
1,"beta[1,2]",0.5,-0.299344,-0.47232,-0.125244,1.28981,10.0,-1.598688,0.6389508303360001,0
1,"beta[2,1]",0.1,0.140033,-0.0564517,0.392419,1.26349,10.0,0.40032999999999985,0.001602641088999999,1
1,"beta[2,2]",0.2,-0.115567,-0.241262,-0.00131877,1.28696,10.0,-1.577835,0.09958253148900002,0
1,"beta[3,1]",-0.1,0.0812231,-0.184397,0.547274,1.19122,10.0,-1.8122310000000001,0.03284181197361001,1
1,"beta[3,2]",0.2,-0.201126,-0.364874,-0.0500605,1.27819,10.0,-2.0056299999999996,0.16090206787599998,0
1,"beta[4,1]",-0.2,0.262332,-0.0481042,0.475378,1.5245,10.0,-2.31166,0.21375087822400002,0
1,"beta[4,2]",0.4,-0.291253,-0.414576,-0.209931,1.0452,10.0,-1.7281324999999998,0.477830710009,0
1,"beta[5,1]",0.3,-0.143904,-0.418147,0.0474437,1.29892,10.0,-1.4796799999999999,0.19705076121599996,0
1,"beta[5,2]",-0.3,0.0284839,-0.123948,0.266267,1.81303,10.0,-1.0949463333333334,0.10790167255921,0
1,"beta[6,1]",-0.1,0.214902,0.00690731,0.530204,1.49473,10.0,-3.14902,0.09916326960400002,0
1,"beta[6,2]",-0.2,0.00288707,-0.0778267,0.14535,1.49918,10.0,-1.0144353499999998,0.0411631631731849,0
1,"beta[7,1]",-0.2,0.299706,0.0503004,0.636013,1.01857,10.0,-2.4985299999999997,0.24970608643599998,0
