Run_ID,Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
160,theta1,2.3,-2.71735,-3.37146,-2.14636,1.00103,2451.86,-2.181456521739131,25.173801022500005,0
160,theta2,2.6,-2.31409,-3.10812,-1.67598,1.00072,2362.98,-1.8900346153846153,24.1482805281,0
160,theta3,2.9,-4.55755,-6.7441,-3.10822,1.00171,1232.35,-2.5715689655172413,55.61505200249999,0
160,theta4[1],-4.0,-4.02647,-4.50319,-3.58191,1.00027,2767.22,0.006617499999999943,0.0007006608999999879,1
160,theta4[2],-1.0,-1.02932,-1.40797,-0.656011,1.00051,4248.46,0.029320000000000013,0.0008596624000000008,1
160,theta4[3],2.7,2.72209,2.31688,3.15754,1.00037,4222.32,0.00818148148148146,0.00048796809999999746,1
160,theta5[1],-7.5,-7.49676,-8.8101,-6.46641,1.00107,1593.72,-0.00043199999999998795,1.0497599999999415e-05,1
160,theta5[2],-2.5,-2.85823,-3.66717,-2.15653,1.00054,2414.37,0.14329199999999992,0.12832873289999988,1
160,theta5[3],2.6,2.12981,1.4368,2.88645,1.00041,2696.18,-0.18084230769230772,0.22107863610000011,1
160,theta6[1],-5.5,-5.49867,-6.17253,-4.85414,1.00281,2294.42,-0.0002418181818182319,1.7689000000007326e-06,1
160,theta6[2],-2.7,-2.69248,-3.26365,-2.15257,1.00312,2235.67,-0.0027851851851851744,5.6550399999999566e-05,1
160,theta6[3],2.5,2.20098,1.66414,2.7651,1.00282,2213.7,-0.11960800000000002,0.08941296040000003,1
160,theta7[1],-4.3,-4.33839,-4.69885,-3.99299,1.00086,3823.49,0.008927906976744324,0.0014737921000000454,1
160,theta7[2],-1.0,-1.09313,-1.33932,-0.855743,1.00024,5226.69,0.09312999999999994,0.008673196899999987,1
160,theta7[3],1.4,1.42718,1.17742,1.67272,1.00034,5228.38,0.019414285714285703,0.000738752399999999,1
