Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-2.43255,-3.02678,-1.91378,1.00037,6664.2,-2.0576304347826087,22.397029502499997,0
theta2,2.6,-3.17119,-4.37201,-2.29224,1.01293,851.118,-2.2196884615384618,33.306634016100006,0
theta3,2.9,-2.397,-3.104,-1.78765,1.00245,4566.27,-1.826551724137931,28.058208999999998,0
theta4[1],-4.0,-3.52776,-4.01237,-3.06525,0.999983,9262.19,-0.11806000000000005,0.2230106176000002,1
theta4[2],-1.0,-0.57508,-0.973934,-0.180074,0.999709,10454.0,-0.42491999999999996,0.18055700639999997,0
theta4[3],2.7,3.00439,2.56462,3.4609,1.00014,9762.2,0.11273703703703693,0.09265327209999982,1
theta5[1],-7.5,-8.01475,-9.49697,-6.80071,1.00114,4403.11,0.06863333333333325,0.26496756249999937,1
theta5[2],-2.5,-2.70939,-3.59755,-1.90412,1.00033,7193.13,0.08375599999999998,0.04384417209999999,1
theta5[3],2.6,2.71113,1.89163,3.58383,1.00002,8764.83,0.042742307692307586,0.01234987689999994,1
theta6[1],-5.5,-5.69788,-6.44328,-5.0056,1.00044,9207.47,0.03597818181818175,0.039156494399999846,1
theta6[2],-2.7,-2.73939,-3.35412,-2.1594,1.00038,10809.0,0.014588888888888901,0.0015515721000000028,1
theta6[3],2.5,2.48936,1.9108,3.07675,1.0005,11248.8,-0.004255999999999993,0.00011320959999999963,1
theta7[1],-4.3,-4.29058,-4.66013,-3.93416,1.00027,9685.15,-0.0021906976744184977,8.873639999999133e-05,1
theta7[2],-1.0,-1.11883,-1.38215,-0.86485,1.00059,8961.17,0.11882999999999999,0.014120568899999998,1
theta7[3],1.4,1.36601,1.10959,1.62614,0.999958,9638.21,-0.024278571428571406,0.0011553200999999977,1
lambda[1],1.2,1.28621,0.838811,1.78454,1.00092,6481.49,0.07184166666666678,0.007432164100000021,1
lambda[2],4.0,4.58226,3.35225,6.35294,1.01011,1881.37,0.14556499999999994,0.33902670759999975,1
lambda[3],4.1,3.04175,2.30264,3.93769,1.00193,3736.47,-0.2581097560975609,1.1198930624999994,0
lambda[4],3.1,2.99987,2.62204,3.40859,1.00377,4349.33,-0.032300000000000016,0.01002601690000001,1
lambda[5],5.2,5.60485,4.66202,6.76599,1.00512,2349.13,0.07785576923076917,0.16390352249999976,1
lambda[6],3.0,3.0889,2.65303,3.58237,1.00379,3759.69,0.0296333333333334,0.007903210000000035,1
lambda[7],1.7,1.90915,1.6804,2.14815,1.00171,6192.76,0.12302941176470586,0.04374372249999998,1
"beta[1,1]",0.3,-0.048711,-0.416363,0.316057,0.999995,11177.9,-1.1623700000000001,0.121599361521,1
"beta[1,2]",0.5,-0.675343,-0.885692,-0.469439,1.0001,9332.34,-2.350686,1.381431167649,0
"beta[2,1]",0.1,0.103768,-0.397051,0.611242,1.00126,10964.7,0.037679999999999936,1.4197823999999951e-05,1
"beta[2,2]",0.2,-0.456852,-0.753781,-0.198376,1.00286,4672.54,-3.2842599999999997,0.431454549904,0
"beta[3,1]",-0.1,0.623025,0.21414,1.06171,1.00069,11240.7,-7.23025,0.5227651506250001,0
"beta[3,2]",0.2,-0.266918,-0.49421,-0.0564507,1.00076,10328.3,-2.33459,0.218012418724,0
"beta[4,1]",-0.2,0.375385,0.117766,0.630575,1.00128,12354.5,-2.876925,0.33106789822500005,0
"beta[4,2]",0.4,-0.47233,-0.607696,-0.340047,0.99992,11196.2,-2.180825,0.7609596289000001,0
"beta[5,1]",0.3,-0.370208,-0.76669,0.0123898,1.00016,11444.5,-2.2340266666666664,0.44917876326399986,0
"beta[5,2]",-0.3,0.202678,0.0120108,0.398639,1.00019,10886.4,-1.6755933333333333,0.25268517168399995,0
"beta[6,1]",-0.1,0.138836,-0.145711,0.424505,0.999975,11480.9,-2.3883599999999996,0.057042634896,1
"beta[6,2]",-0.2,0.148905,0.00726885,0.294578,1.00097,11324.9,-1.744525,0.12173469902500002,0
"beta[7,1]",-0.2,0.129728,-0.0819919,0.333256,1.00096,12035.9,-1.64864,0.10872055398400002,0
"beta[7,2]",-0.1,0.0212398,-0.0866891,0.130422,1.00077,11378.6,-1.212398,0.014699089104040003,0
sigma_bk[1],3.7,3.76497,3.15901,4.46969,1.00143,3124.7,0.01755945945945939,0.004221100899999967,1
sigma_bk[2],3.4,3.91164,2.82506,5.37285,1.02835,324.02,0.15048235294117643,0.26177548959999986,1
sigma_bk[3],4.8,3.89315,3.14456,4.80875,1.01237,1055.37,-0.18892708333333333,0.8223769224999998,1
sigma_bk[4],3.1,3.26829,2.90047,3.67308,1.00239,3700.53,0.054287096774193494,0.028321524099999943,1
sigma_bk[5],6.1,6.48887,5.49896,7.68572,1.00292,2766.98,0.06374918032786897,0.15121987690000055,1
sigma_bk[6],5.1,5.2994,4.69819,5.97219,1.00096,4203.37,0.039098039215686414,0.03976036000000027,1
sigma_bk[7],1.7,1.6144,1.38639,1.84388,1.00456,2228.11,-0.05035294117647053,0.007327359999999982,1
rho,0.6,0.620466,0.518429,0.719387,1.00622,1324.62,0.034109999999999974,0.00041885715599999934,1
"Gamma[1,1]",0.18,0.161321,0.0842132,0.281925,1.07019,95.5899,-0.10377222222222224,0.00034890504100000005,1
"Gamma[1,2]",-0.07,-0.0471724,-0.149457,0.0268891,1.0367,179.566,-0.32610857142857147,0.0005210993217600002,1
"Gamma[2,1]",0.1,0.0877059,0.0142607,0.16657,1.0037,2222.31,-0.12294100000000002,0.00015114489481000005,1
"Gamma[2,2]",0.15,0.143163,0.0708616,0.214066,1.00681,2607.96,-0.045579999999999884,4.674456899999975e-05,1
