Run_ID,Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
188,theta1,2.3,-1.99686,-2.49177,-1.5304,1.00054,2880.59,-1.8682,18.463005859599996,0
188,theta2,2.6,-2.689,-3.51912,-1.98836,1.00437,625.025,-2.034230769230769,27.973520999999998,0
188,theta3,2.9,-2.19392,-3.1346,-1.45055,1.00362,1128.37,-1.7565241379310346,25.948020966399998,0
188,theta4[1],-4.0,-4.25734,-4.75448,-3.7832,1.00006,6642.17,0.06433500000000003,0.06622387560000007,1
188,theta4[2],-1.0,-1.30193,-1.70353,-0.900564,1.00046,6550.78,0.30193000000000003,0.09116172490000002,1
188,theta4[3],2.7,2.42115,2.00899,2.86141,1.00073,5643.01,-0.10327777777777787,0.07775732250000014,1
188,theta5[1],-7.5,-7.3528,-8.64295,-6.2712,1.00039,2785.3,-0.019626666666666636,0.021667839999999935,1
188,theta5[2],-2.5,-2.17081,-2.94321,-1.45562,1.00007,4863.03,-0.13167600000000004,0.10836605610000007,1
188,theta5[3],2.6,2.65764,1.94227,3.44096,1.00037,5199.4,0.02216923076923065,0.0033223695999999646,1
188,theta6[1],-5.5,-5.27468,-5.9514,-4.64461,1.00024,5505.43,-0.04096727272727272,0.05076910239999998,1
188,theta6[2],-2.7,-2.60563,-3.16084,-2.06315,1.00019,5828.22,-0.03495185185185187,0.008905696900000011,1
188,theta6[3],2.5,2.24404,1.71622,2.78127,1.00045,5995.7,-0.10238399999999999,0.06551552159999999,1
188,theta7[1],-4.3,-4.33784,-4.67902,-3.99814,1.00004,7141.97,0.008800000000000023,0.0014318656000000072,1
188,theta7[2],-1.0,-1.02609,-1.27009,-0.7908,0.999992,6573.87,0.026089999999999947,0.0006806880999999973,1
188,theta7[3],1.4,1.38088,1.13279,1.63108,1.00027,4806.4,-0.013657142857142719,0.0003655743999999925,1
188,lambda[1],1.2,1.16178,0.776787,1.57054,1.00152,2158.87,-0.031849999999999934,0.001460768399999994,1
188,lambda[2],4.0,3.97736,3.11007,5.13798,1.00254,1273.06,-0.005659999999999998,0.0005125695999999997,1
188,lambda[3],4.1,4.07381,3.10858,5.38171,1.00329,1427.18,-0.006387804878048711,0.000685916099999985,1
188,lambda[4],3.1,3.02426,2.6603,3.43346,0.999907,3189.72,-0.024432258064516172,0.005736547600000022,1
188,lambda[5],5.2,5.05893,4.23901,6.10102,1.00154,1598.94,-0.02712884615384616,0.019900744900000007,1
188,lambda[6],3.0,3.02936,2.62044,3.48097,1.00115,3067.16,0.009786666666666685,0.0008620096000000031,1
188,lambda[7],1.7,1.59568,1.4033,1.80694,1.00019,4561.08,-0.061364705882352925,0.010882662399999993,1
188,"beta[1,1]",0.3,-0.278966,-0.618355,0.0658751,1.00008,7362.56,-1.9298866666666668,0.335201629156,0
188,"beta[1,2]",0.5,-0.382667,-0.565831,-0.213753,1.00009,6688.42,-1.765334,0.779101032889,0
188,"beta[2,1]",0.1,0.125597,-0.31796,0.571262,1.00093,5824.17,0.2559699999999998,0.000655206408999999,1
188,"beta[2,2]",0.2,-0.0262065,-0.252228,0.19953,1.00053,3176.12,-1.1310324999999999,0.051169380642250004,0
188,"beta[3,1]",-0.1,-0.149731,-0.626683,0.324051,1.00094,2920.08,0.49731,0.002473172361,1
188,"beta[3,2]",0.2,-0.148196,-0.396713,0.0889595,1.00062,7280.6,-1.74098,0.12124045441600001,0
188,"beta[4,1]",-0.2,-0.0646392,-0.316737,0.191617,1.001,8189.74,-0.676804,0.01832254617664,1
188,"beta[4,2]",0.4,-0.338057,-0.465896,-0.209434,1.00065,7338.47,-1.8451425,0.544728135249,0
