Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-1.47076,-1.94718,-1.02452,1.00113,7589.34,-1.6394608695652175,14.2186309776,0
theta2,2.6,0.314524,-0.857341,1.60176,1.00119,5103.73,-0.8790292307692308,5.223400546576,0
theta3,2.9,-0.610231,-1.99487,0.554677,1.00139,4999.12,-1.2104244827586208,12.321721673361,0
theta4[1],-4.0,-1.30475,-1.75645,-0.862299,1.00071,5397.79,-0.6738124999999999,7.264372562499998,0
theta4[2],-1.0,1.41019,0.963279,1.87092,1.0011,5435.06,-2.41019,5.8090158361,0
theta4[3],2.7,4.83163,4.28105,5.41055,1.00097,5430.86,0.7894925925925923,4.543846456899998,0
theta5[1],-7.5,-3.70161,-4.67937,-2.81851,1.00086,4936.92,-0.506452,14.4277665921,0
theta5[2],-2.5,1.22534,0.426387,2.03068,1.0007,4818.47,-1.4901360000000001,13.878158115600002,0
theta5[3],2.6,6.07671,5.0262,7.33002,1.00049,3815.73,1.3371961538461539,12.087512424100002,0
theta6[1],-5.5,-3.47862,-4.18953,-2.79317,1.00085,5996.26,-0.3675236363636364,4.0859771044,0
theta6[2],-2.7,-0.305417,-0.936089,0.334331,1.00054,6117.78,-0.8868825925925926,5.734027743889001,0
theta6[3],2.5,5.01681,4.2601,5.83593,1.00004,6143.45,1.0067240000000002,6.334332576100002,0
theta7[1],-4.3,-3.01983,-3.36686,-2.6814,1.00061,5993.69,-0.2977139534883721,1.6388352289,0
theta7[2],-1.0,0.316531,0.0343918,0.605323,1.00084,5494.81,-1.316531,1.7332538739609997,0
theta7[3],1.4,2.66712,2.34888,3.00481,1.00063,5984.27,0.9050857142857145,1.6055930944000005,0
lambda[1],1.2,1.57926,1.22186,1.97903,1.00041,5416.29,0.31605000000000016,0.1438381476000001,0
lambda[2],4.0,11.6478,6.52465,22.8322,1.00691,1235.24,1.91195,58.488844840000006,0
lambda[3],4.1,9.49549,5.6544,17.8048,1.00416,1379.16,1.3159731707317075,29.111312340100007,0
lambda[4],3.1,3.46357,3.06445,3.89713,1.00216,3689.82,0.11728064516129023,0.1321831448999998,1
lambda[5],5.2,6.17168,5.18174,7.38831,1.00188,2033.87,0.18686153846153847,0.9441620224000002,1
lambda[6],3.0,4.0541,3.50695,4.66849,1.00242,3145.88,0.35136666666666666,1.11112681,0
lambda[7],1.7,2.30195,2.05349,2.57028,1.00155,3969.65,0.35408823529411776,0.36234380250000026,0
"beta[1,1]",0.3,-0.236122,-0.575114,0.101496,1.00008,12104.2,-1.7870733333333333,0.28742679888399997,0
"beta[1,2]",0.5,-0.436729,-0.628336,-0.249211,1.00066,11648.6,-1.8734579999999998,0.8774612194409999,0
"beta[2,1]",0.1,-0.854996,-2.2534,0.145909,1.00076,5863.14,-9.549959999999999,0.9120173600159999,1
"beta[2,2]",0.2,-0.475665,-1.25167,0.0452627,1.00255,4687.12,-3.378325,0.45652319222499993,0
"beta[3,1]",-0.1,1.07628,0.150359,2.40455,1.00139,3968.24,-11.762799999999999,1.3836346384,0
"beta[3,2]",0.2,-0.0171773,-0.557769,0.488032,1.00188,10746.8,-1.0858865,0.047165979635290005,1
"beta[4,1]",-0.2,0.167377,-0.0960177,0.430355,1.00004,11990.5,-1.8368849999999999,0.134965860129,0
"beta[4,2]",0.4,-0.436392,-0.570488,-0.30491,0.999803,11916.4,-2.09098,0.699551577664,0
"beta[5,1]",0.3,-0.298103,-0.681618,0.0699334,0.999911,12214.6,-1.993676666666667,0.35772719860900004,0
"beta[5,2]",-0.3,0.248124,0.0631247,0.442596,1.00007,12303.1,-1.8270800000000003,0.30043991937600006,0
"beta[6,1]",-0.1,0.0395758,-0.262227,0.341001,0.99986,13116.3,-1.3957579999999998,0.01948140394564,1
"beta[6,2]",-0.2,0.118141,-0.0305664,0.265998,0.999547,13735.5,-1.590705,0.101213695881,0
"beta[7,1]",-0.2,0.152754,-0.0652647,0.367827,1.00082,12759.4,-1.76377,0.124435384516,0
"beta[7,2]",-0.1,0.070259,-0.0394891,0.178296,1.00033,12131.0,-1.7025899999999998,0.028988127080999997,0
sigma_bk[1],3.7,3.5584,3.00242,4.19749,1.00155,3180.76,-0.03827027027027038,0.02005056000000011,1
sigma_bk[2],3.4,4.3792,1.47924,8.69826,1.00938,618.618,0.28800000000000003,0.9588326400000001,1
sigma_bk[3],4.8,8.28515,5.09765,15.207,1.00307,1449.19,0.7260729166666667,12.1462705225,0
sigma_bk[4],3.1,3.00593,2.63589,3.40663,1.00288,3117.56,-0.03034516129032254,0.008849164899999977,1
sigma_bk[5],6.1,5.91904,5.00609,7.00708,1.00103,2843.93,-0.02966557377049177,0.032746521599999925,1
sigma_bk[6],5.1,5.66504,4.98572,6.4214,1.00212,4190.41,0.11079215686274524,0.31927020160000075,1
sigma_bk[7],1.7,1.61217,1.37454,1.86003,1.0015,2203.92,-0.051664705882352856,0.007714108899999974,1
rho,0.6,-0.0533064,-0.135578,0.0297545,1.00054,6162.72,-1.088844,0.42680925228095995,0
"Gamma[1,1]",0.18,0.218483,0.17252,0.267819,1.00458,1454.33,0.21379444444444454,0.0014809412890000014,1
"Gamma[1,2]",-0.07,-0.166036,-0.208923,-0.121431,1.00053,5016.65,1.3719428571428567,0.009222913295999996,0
"Gamma[2,1]",0.1,0.125336,0.0772181,0.173511,1.00113,4402.16,0.25336,0.0006419128959999999,1
"Gamma[2,2]",0.15,0.161721,0.132257,0.193314,1.00432,1566.82,0.07814000000000007,0.00013738184100000022,1
