Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-1.47871,-1.95296,-1.04052,1.00028,7398.71,-1.6429173913043478,14.278649264099998,0
theta2,2.6,0.296946,-0.853474,1.66247,1.00163,6042.63,-0.88579,5.304057726916,0
theta3,2.9,-0.628147,-2.00337,0.511789,1.00257,5462.66,-1.2166024137931033,12.447821253608998,0
theta4[1],-4.0,-1.29487,-1.7349,-0.860695,1.00096,5635.01,-0.6762825,7.3177283169,0
theta4[2],-1.0,1.41861,0.972412,1.87521,1.00121,5844.98,-2.41861,5.849674332100001,0
theta4[3],2.7,4.83597,4.28783,5.42008,1.00079,6381.6,0.7910999999999998,4.562367840899998,0
theta5[1],-7.5,-3.67805,-4.64282,-2.80569,1.0007,5238.56,-0.5095933333333333,14.607301802500002,0
theta5[2],-2.5,1.24153,0.470458,2.07037,1.00177,5016.18,-1.496612,13.9990467409,0
theta5[3],2.6,6.08356,5.0266,7.34085,1.00342,3463.93,1.3398307692307692,12.135190273600001,0
theta6[1],-5.5,-3.47009,-4.19042,-2.80247,1.00027,7201.49,-0.3690745454545455,4.120534608100001,0
theta6[2],-2.7,-0.298816,-0.942555,0.331927,1.00055,6641.08,-0.8893274074074075,5.765684601856001,0
theta6[3],2.5,5.02631,4.27127,5.82895,1.0006,5979.07,1.0105239999999998,6.382242216099998,0
theta7[1],-4.3,-3.01231,-3.35132,-2.6823,1.00052,6211.0,-0.29946279069767445,1.6581455361,0
theta7[2],-1.0,0.321693,0.0352202,0.608484,1.00075,5609.41,-1.321693,1.746872386249,0
theta7[3],1.4,2.67133,2.34928,3.00141,1.00092,5667.33,0.9080928571428574,1.6162799689000007,0
lambda[1],1.2,1.58405,1.23683,1.98031,1.00081,5964.5,0.32004166666666667,0.1474944025,0
lambda[2],4.0,11.7403,6.53556,23.1661,1.00923,1288.95,1.9350749999999999,59.912244089999994,0
lambda[3],4.1,9.46088,5.7828,17.2654,1.00692,1555.68,1.3075317073170734,28.7390343744,0
lambda[4],3.1,3.46498,3.07066,3.90305,1.00137,4376.73,0.11773548387096776,0.13321040040000007,1
lambda[5],5.2,6.16349,5.15895,7.42241,1.00573,1887.21,0.1852865384615385,0.9283129801000003,1
lambda[6],3.0,4.05546,3.52069,4.66252,1.00209,3655.7,0.35182,1.1139958116000002,0
lambda[7],1.7,2.3018,2.05745,2.55956,1.00113,4612.8,0.3540000000000001,0.3621632400000001,0
"beta[1,1]",0.3,-0.237668,-0.583645,0.103592,0.999984,11115.7,-1.7922266666666669,0.28908687822400003,0
"beta[1,2]",0.5,-0.436249,-0.623745,-0.253361,1.00048,10925.5,-1.872498,0.876562190001,0
"beta[2,1]",0.1,-0.870916,-2.28292,0.118976,1.00192,5624.07,-9.709159999999999,0.942677879056,1
"beta[2,2]",0.2,-0.473216,-1.23843,0.0591027,1.00098,5207.02,-3.36608,0.45321978265600005,0
"beta[3,1]",-0.1,1.07109,0.157343,2.38707,1.00198,5282.41,-11.7109,1.3714517881000003,0
"beta[3,2]",0.2,-0.0152104,-0.532983,0.496828,1.0004,10716.9,-1.076052,0.04631551626816001,1
"beta[4,1]",-0.2,0.170269,-0.0939045,0.43344,1.00007,12500.4,-1.851345,0.13709913236100002,0
"beta[4,2]",0.4,-0.436169,-0.57032,-0.304155,1.0009,12593.7,-2.0904225,0.6991785965609999,0
"beta[5,1]",0.3,-0.297531,-0.682285,0.0790406,1.00024,12397.3,-1.9917700000000003,0.35704329596100004,0
"beta[5,2]",-0.3,0.247275,0.0568883,0.4465,1.0006,9612.3,-1.82425,0.29950992562499995,0
"beta[6,1]",-0.1,0.0414605,-0.266545,0.34073,1.00098,12642.5,-1.414605,0.020011073060249997,1
"beta[6,2]",-0.2,0.117026,-0.0346276,0.267798,1.00025,11818.5,-1.5851300000000001,0.10050548467600003,0
"beta[7,1]",-0.2,0.152159,-0.0593611,0.365557,1.00111,12831.6,-1.7607949999999999,0.124015961281,0
"beta[7,2]",-0.1,0.0701434,-0.0389882,0.179013,1.00022,11518.2,-1.701434,0.02894877656356,0
sigma_bk[1],3.7,3.56541,3.02533,4.197,1.00144,3558.67,-0.036375675675675734,0.018114468100000055,1
sigma_bk[2],3.4,4.44217,1.62671,8.9326,1.01556,614.439,0.30652058823529416,1.0861183089000002,1
sigma_bk[3],4.8,8.23016,5.11327,14.7672,1.00597,1755.12,0.7146166666666667,11.765997625599999,0
sigma_bk[4],3.1,3.00204,2.64152,3.38948,1.00088,3891.65,-0.03160000000000002,0.009596161600000009,1
sigma_bk[5],6.1,5.9089,5.00587,7.03549,1.00408,2264.28,-0.03132786885245895,0.03651920999999985,1
sigma_bk[6],5.1,5.65809,4.98576,6.39861,1.0009,4938.46,0.10942941176470589,0.31146444809999996,1
sigma_bk[7],1.7,1.61186,1.38159,1.85389,1.00204,2437.17,-0.05184705882352934,0.00776865959999998,1
rho,0.6,-0.0535127,-0.137899,0.0291752,1.00088,6647.53,-1.0891878333333334,0.42707884906128996,0
"Gamma[1,1]",0.18,0.216356,0.170942,0.267716,1.0065,1393.35,0.20197777777777778,0.001321758736,1
"Gamma[1,2]",-0.07,-0.166734,-0.20866,-0.124016,1.00084,5583.64,1.3819142857142854,0.009357466755999997,0
"Gamma[2,1]",0.1,0.126202,0.0773481,0.174865,1.00279,4383.25,0.26202000000000003,0.0006865448040000001,1
"Gamma[2,2]",0.15,0.160972,0.131943,0.193084,1.0058,1750.63,0.07314666666666673,0.0001203847840000002,1
