Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-1.89508,-2.47443,-1.37045,1.0004,7364.7,-1.8239478260869566,17.5986962064,0
theta2,2.6,-0.377781,-1.08492,0.260353,1.00051,6178.08,-1.1453003846153846,8.867179683961002,0
theta3,2.9,-0.664196,-1.90975,0.25791,1.00177,4131.75,-1.2290331034482758,12.703493126416,0
theta4[1],-4.0,-2.42375,-2.97555,-1.87572,1.00061,4458.68,-0.3940625,2.4845640624999996,0
theta4[2],-1.0,0.27358,-0.242567,0.802244,1.00001,4082.88,-1.27358,1.6220060163999999,0
theta4[3],2.7,4.16643,3.55795,4.83843,1.00044,4314.53,0.5431222222222222,2.1504169449,0
theta5[1],-7.5,-5.83635,-7.34887,-4.56182,1.00144,3258.12,-0.22181999999999996,2.7677313224999986,0
theta5[2],-2.5,-0.620254,-1.60237,0.339862,1.0009,3981.58,-0.7518984,3.533445024516,0
theta5[3],2.6,4.55866,3.41894,5.92035,1.00122,3417.4,0.753330769230769,3.8363489955999985,0
theta6[1],-5.5,-4.49737,-5.34529,-3.70629,1.00055,5214.11,-0.18229636363636362,1.0052669169,0
theta6[2],-2.7,-1.69053,-2.41794,-0.985839,1.00061,5145.86,-0.3738777777777778,1.0190296809000001,0
theta6[3],2.5,3.77938,3.01238,4.60733,1.00127,4685.59,0.5117520000000001,1.6368131844000005,0
theta7[1],-4.3,-3.66336,-4.07693,-3.26554,0.9999,4761.41,-0.14805581395348835,0.4053104895999998,0
theta7[2],-1.0,-0.441577,-0.762952,-0.118129,1.00062,3944.84,-0.558423,0.311836246929,0
theta7[3],1.4,1.83936,1.5119,2.18437,1.00093,4149.4,0.31382857142857157,0.19303720960000018,0
lambda[1],1.2,1.75694,1.30202,2.28604,1.00054,4576.88,0.4641166666666667,0.3101821636,0
lambda[2],4.0,4.85066,3.43059,7.312,1.00409,1864.53,0.2126650000000001,0.7236224356000007,1
lambda[3],4.1,7.06174,4.2629,13.4947,1.00768,1110.96,0.7223756097560978,8.771903827600005,0
lambda[4],3.1,4.86708,4.29269,5.50379,1.00321,2992.51,0.5700258064516127,3.1225717263999986,0
lambda[5],5.2,9.18446,7.52189,11.3714,1.00463,1701.54,0.7662423076923076,15.875921491599996,0
lambda[6],3.0,5.54886,4.7838,6.43583,1.00304,2619.78,0.8496200000000002,6.496687299600001,0
lambda[7],1.7,3.06339,2.75205,3.39798,1.00256,3691.85,0.8019941176470589,1.8588322921000002,0
"beta[1,1]",0.3,-0.28954,-0.673086,0.0914296,1.00052,13617.2,-1.9651333333333332,0.3475574115999999,0
"beta[1,2]",0.5,-0.521633,-0.730113,-0.322156,1.00074,11920.1,-2.043266,1.043733986689,0
"beta[2,1]",0.1,0.371097,-0.15366,0.947234,1.00072,11465.0,2.71097,0.07349358340900002,1
"beta[2,2]",0.2,-0.314083,-0.621648,-0.0418791,1.00014,9404.37,-2.570415,0.2642813308890001,0
"beta[3,1]",-0.1,0.607598,-0.111207,1.55134,1.00131,5825.43,-7.0759799999999995,0.500694929604,1
"beta[3,2]",0.2,-0.293102,-0.7876,0.0884752,1.00103,5638.06,-2.4655099999999996,0.24314958240399998,0
"beta[4,1]",-0.2,0.225793,-0.0739702,0.519816,1.00055,13852.5,-2.1289649999999996,0.18129967884899997,0
"beta[4,2]",0.4,-0.443087,-0.601997,-0.290738,1.00121,14367.1,-2.1077175,0.7107956895690001,0
"beta[5,1]",0.3,-0.452378,-0.931766,0.00814151,1.00009,13580.1,-2.5079266666666666,0.5660726548839999,0
"beta[5,2]",-0.3,0.280087,0.0377729,0.530042,1.00017,12653.8,-1.9336233333333335,0.336500927569,0
"beta[6,1]",-0.1,-0.0314983,-0.368453,0.307296,1.00035,15434.2,-0.685017,0.00469248290289,1
"beta[6,2]",-0.2,0.114373,-0.0541518,0.285527,1.00075,14464.4,-1.571865,0.09883038312900001,0
"beta[7,1]",-0.2,0.129823,-0.103061,0.364562,1.0006,13020.5,-1.6491149999999999,0.10878321132899998,0
"beta[7,2]",-0.1,0.0391585,-0.0800342,0.159804,1.00051,13341.0,-1.391585,0.019365088122250004,0
sigma_bk[1],3.7,4.03952,3.38592,4.82342,1.00228,3335.41,0.09176216216216224,0.11527383040000018,1
sigma_bk[2],3.4,3.7759,2.72995,5.3211,1.00692,1479.61,0.1105588235294118,0.14130081000000008,1
sigma_bk[3],4.8,6.39655,4.10299,11.6293,1.00983,1229.52,0.3326145833333335,2.5489719025000017,1
sigma_bk[4],3.1,3.17588,2.75432,3.62776,1.00152,3158.11,0.02447741935483862,0.005757774399999959,1
sigma_bk[5],6.1,6.41578,5.22373,7.96356,1.00427,1986.68,0.05176721311475413,0.09971700840000011,1
sigma_bk[6],5.1,5.51841,4.78619,6.34838,1.00208,3413.09,0.08204117647058837,0.17506692810000052,1
sigma_bk[7],1.7,1.42376,1.15537,1.68631,1.00657,1416.24,-0.16249411764705884,0.07630853760000002,0
rho,0.6,0.0379474,-0.0600208,0.133553,1.00164,5219.93,-0.9367543333333334,0.31590312516676,0
"Gamma[1,1]",0.18,0.224046,0.163761,0.294141,1.00982,615.148,0.24470000000000003,0.0019400501160000002,1
"Gamma[1,2]",-0.07,-0.0348743,-0.0894591,0.0221542,1.0014,3084.47,-0.5017957142857143,0.0012338148004900006,1
"Gamma[2,1]",0.1,0.018103,-0.0173894,0.0548359,1.00218,3213.42,-0.81897,0.0067071186089999995,0
"Gamma[2,2]",0.15,0.112281,0.092419,0.133241,1.0092,1322.21,-0.25145999999999996,0.0014227229609999992,0
c_latent[1],0.5,0.142598,0.110823,0.174882,1.00111,3792.4,-0.714804,0.127736189604,0
c_latent[2],-0.3,-0.0404517,-0.0605875,-0.0201481,1.00059,5648.98,-0.8651610000000001,0.06736532003289,0
