Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-1.89349,-2.48383,-1.37468,1.00062,6645.95,-1.8232565217391306,17.585358380099997,0
theta2,2.6,-0.377698,-1.11531,0.245286,1.00192,5717.23,-1.1452684615384616,8.866685379204002,0
theta3,2.9,-0.66513,-1.9164,0.304306,1.00092,4336.72,-1.2293551724137932,12.7101519169,0
theta4[1],-4.0,-2.41935,-2.97669,-1.88577,1.00156,3704.71,-0.39516249999999997,2.4984544224999996,0
theta4[2],-1.0,0.276661,-0.243601,0.799449,1.00166,3548.53,-1.276661,1.6298633089210002,0
theta4[3],2.7,4.16443,3.56462,4.81964,1.00232,3862.76,0.5423814814814815,2.1445552249000004,0
theta5[1],-7.5,-5.81136,-7.32944,-4.5642,1.0012,2826.09,-0.22515200000000005,2.8515050496000014,0
theta5[2],-2.5,-0.606374,-1.61092,0.356392,1.00135,3435.95,-0.7574504,3.5858194278760003,0
theta5[3],2.6,4.55595,3.41794,5.91136,1.00244,3056.03,0.7522884615384615,3.8257404025,0
theta6[1],-5.5,-4.49815,-5.33816,-3.72163,1.001,4288.9,-0.18215454545454549,1.0037034225000003,0
theta6[2],-2.7,-1.69064,-2.40409,-1.00286,1.00127,4135.47,-0.37383703703703713,1.0188076096000005,0
theta6[3],2.5,3.7832,3.02749,4.58888,1.00179,4181.04,0.51328,1.6466022399999998,0
theta7[1],-4.3,-3.66012,-4.06479,-3.26443,1.00092,4303.49,-0.14880930232558134,0.40944641439999974,0
theta7[2],-1.0,-0.438848,-0.755807,-0.120026,1.00172,3300.13,-0.561152,0.31489156710399996,0
theta7[3],1.4,1.84069,1.50641,2.18177,1.00193,3547.97,0.31477857142857146,0.19420767610000003,0
lambda[1],1.2,1.75973,1.32052,2.27115,1.00305,4262.34,0.46644166666666675,0.31329767290000005,0
lambda[2],4.0,4.87123,3.44587,7.36395,1.00555,1811.09,0.21780749999999993,0.7590417128999996,1
lambda[3],4.1,7.04182,4.36085,12.9642,1.00661,1249.74,0.717517073170732,8.654304912400004,0
lambda[4],3.1,4.86403,4.29119,5.50028,1.00238,3041.73,0.5690419354838708,3.1118018408999983,0
lambda[5],5.2,9.15592,7.49876,11.3021,1.00189,1792.55,0.7607538461538461,15.649303046399998,0
lambda[6],3.0,5.55863,4.79899,6.42175,1.00266,2254.58,0.8528766666666666,6.5465874769,0
lambda[7],1.7,3.06293,2.74955,3.3984,1.0013,3524.43,0.8017235294117648,1.8575781849000006,0
"beta[1,1]",0.3,-0.28703,-0.675117,0.0953751,1.00088,13701.4,-1.9567666666666665,0.3446042208999999,0
"beta[1,2]",0.5,-0.520103,-0.729165,-0.319555,1.00059,12209.4,-2.040206,1.0406101306089999,0
"beta[2,1]",0.1,0.375249,-0.152222,0.974032,1.00095,11746.3,2.7524899999999994,0.07576201200099998,1
"beta[2,2]",0.2,-0.313902,-0.628562,-0.0429872,1.00009,8176.5,-2.56951,0.2640952656040001,0
"beta[3,1]",-0.1,0.611326,-0.108538,1.53812,1.00103,6393.62,-7.1132599999999995,0.505984678276,1
"beta[3,2]",0.2,-0.297632,-0.787048,0.0815068,1.00123,6055.4,-2.48816,0.247637607424,0
"beta[4,1]",-0.2,0.226663,-0.0726575,0.531347,1.00028,15688.6,-2.133315,0.18204131556900002,0
"beta[4,2]",0.4,-0.441407,-0.597314,-0.288962,0.999657,13560.3,-2.1035174999999997,0.707965739649,0
"beta[5,1]",0.3,-0.445996,-0.935614,0.0166605,1.00019,13390.5,-2.4866533333333334,0.556510032016,0
"beta[5,2]",-0.3,0.277553,0.0419658,0.528222,1.00014,12279.6,-1.9251766666666668,0.333567467809,0
"beta[6,1]",-0.1,-0.0271906,-0.370008,0.315329,1.00036,16110.1,-0.728094,0.005301208728360002,1
"beta[6,2]",-0.2,0.113226,-0.0577072,0.284653,1.00014,15146.2,-1.56613,0.098110527076,0
"beta[7,1]",-0.2,0.128986,-0.104533,0.357583,1.00079,14530.9,-1.64493,0.108231788196,0
"beta[7,2]",-0.1,0.0389477,-0.0790373,0.15932,1.00136,13283.4,-1.389477,0.019306463335290003,0
sigma_bk[1],3.7,4.03789,3.378,4.80526,1.00235,2909.94,0.09132162162162157,0.11416965209999987,1
sigma_bk[2],3.4,3.7856,2.7756,5.36023,1.00637,1739.06,0.1134117647058824,0.14868736000000013,1
sigma_bk[3],4.8,6.34258,4.1108,11.3274,1.00596,1254.77,0.3213708333333334,2.3795530564000003,1
sigma_bk[4],3.1,3.17585,2.75647,3.63375,1.00289,2959.38,0.02446774193548386,0.005753222499999996,1
sigma_bk[5],6.1,6.39809,5.21584,7.88903,1.00367,2031.49,0.04886721311475413,0.08885764810000012,1
sigma_bk[6],5.1,5.51941,4.8172,6.30326,1.00434,2700.81,0.08223725490196081,0.17590474810000006,1
sigma_bk[7],1.7,1.42034,1.15051,1.68541,1.00503,1491.74,-0.1645058823529412,0.07820971560000001,0
rho,0.6,0.0367281,-0.0612198,0.134683,1.00135,5724.62,-0.9387865,0.31727523332960994,0
"Gamma[1,1]",0.18,0.219877,0.164839,0.289065,1.0107,640.215,0.22153888888888887,0.0015901751289999996,1
"Gamma[1,2]",-0.07,-0.0345869,-0.0891921,0.0221734,1.00286,2685.19,-0.5059014285714286,0.0012540876516100006,1
"Gamma[2,1]",0.1,0.0176303,-0.0177748,0.0533733,1.00216,2657.78,-0.823697,0.0067847674780900005,0
"Gamma[2,2]",0.15,0.112222,0.0927939,0.133027,1.00627,1280.11,-0.2518533333333333,0.0014271772839999995,0
c_latent[1],0.5,0.14237,0.111473,0.174391,1.00198,3699.1,-0.71526,0.1278992169,0
c_latent[2],-0.3,-0.0402827,-0.060575,-0.0200655,1.00085,5707.92,-0.8657243333333333,0.06745307591928999,0
