Para.,True,Est,SE,RB,MSE,CP
lambda_1,1.2,-1.9122791e-19,1.99996,-1.0,1.44,100
lambda_2,4.0,0.88899314,0.097582586,-0.7777517,9.678363,0
lambda_3,4.1,0.7381504,0.105889015,-0.81996334,11.302032,0
lambda_4,3.1,2.370087,0.0,-0.23545581,0.53277296,0
lambda_5,5.2,2.3003142,0.0,-0.55763185,8.408176,0
lambda_6,3.0,1.9565865,0.0,-0.34780452,1.0887117,0
lambda_7,1.7,2.4707408,0.0,0.4533769,0.5940413,0
gamma_11,0.18,5.7072525,0.7155378,30.706959,30.550522,0
gamma_12,-0.07,-0.20729673,0.29246724,-1.9613819,0.018850394,100
gamma_21,0.1,3.5840325,0.39974287,34.840324,12.138483,0
gamma_22,0.15,0.5509342,0.1649715,2.6728945,0.16074823,0
