Para.,True,Est,SE,RB,MSE,CP
lambda_1,1.2,1.2,0.99995,0.0,0.0,100
lambda_2,4.0,0.77873236,0.03491982,-0.8053169,10.376566,0
lambda_3,4.1,1.3225844,0.07112628,-0.6774184,7.714037,0
lambda_4,3.1,1.6161697,0.0,-0.47865492,2.2017522,0
lambda_5,5.2,1.4187139,0.059795614,-0.72717035,14.298122,0
lambda_6,3.0,1.6142082,0.0,-0.4619306,1.9204189,0
lambda_7,1.7,1.358714,0.05427817,-0.2007565,0.11647618,0
gamma_11,0.18,1.7510005,0.03874493,8.72778,2.4680429,0
gamma_12,-0.07,0.10448596,0.037377857,2.4926565,0.030445347,0
gamma_21,0.1,0.6416184,0.01879003,5.4161835,0.29335043,0
gamma_22,0.15,0.22631262,0.010617489,0.50875074,0.0058236155,0
