Para.,True,Estimated,RB,MSE
lambda_1,1.2,1.618868112564087,0.3490567604700725,0.17545049572300062
lambda_2,4.0,2.7525157928466797,-0.3118710517883301,1.5562168470969482
lambda_3,4.1,3.249392509460449,-0.2074652415950123,0.7235331029619914
lambda_4,3.1,1.8926494121551514,-0.3894679315628544,1.4576954419693018
lambda_5,5.2,2.187887191772461,-0.5792524631206806,9.072823569488392
lambda_6,3.0,1.8937267065048218,-0.36875776449839276,1.2238405999006687
lambda_7,1.7,1.9878073930740356,0.16929846651413866,0.08283309550807248
gamma_11,0.18,0.2305404543876648,0.2807803021536934,0.0025543375297116264
gamma_12,-0.07,1.1659798622131348,17.656855174473353,1.5276462197963998
gamma_21,0.1,-0.08930641412734985,-1.8930641412734985,0.035836918429755685
gamma_22,0.15,1.4558942317962646,8.705961545308432,1.7053597446387565
beta_21,0.1,0.1951827108860016,0.9518271088600158,0.009059748451608163
beta_22,0.2,0.1631121188402176,-0.1844394057989121,0.0013607157764582308
beta_51,0.3,0.10513369739055634,-0.6495543420314789,0.03797287589267526
beta_52,-0.3,-0.09873709827661514,0.6708763390779495,0.040506755610116865
theta_1,2.3,0.7077100276947021,-0.6922999879588251,2.5353873559040054
theta_2,0.0,-0.1513039618730545,-0.1513039618730545,0.02289288887848273
theta_3,2.9,1.0598711967468262,-0.6345271735355772,3.3860740125619575
theta_51,-7.5,-4.58645486831665,0.38847268422444664,8.488745234355747
theta_52,-2.5,-3.2600226402282715,-0.30400905609130857,0.5776344136595526
theta_53,2.6,-1.5748088359832764,-1.6056957061474137,17.429028817004035
theta_71,-4.3,-4.580621719360352,-0.06526086496752366,0.07874854937676001
theta_72,-1.0,-2.7723593711853027,-1.7723593711853027,3.1412577406283617
theta_73,1.4,-1.15883207321167,-1.827737195151193,6.547621578896733
